312:00:00,10670,6016,121
313:00:00,8185,5196,92
314:00:00,21550,1546,8
315:00:00,27014,597,1
316:00:00,7140,6055,128
317:00:00,11309,9520,338
318:00:00,558,336,0
319:00:00,28675,24889,2438
320:00:00,30376,1970,12
321:00:00,29455,28562,3143
322:00:00,13066,4889,82
323:00:00,9525,1037,3
324:00:00,224,154,0
325:00:00,7219,7109,188
326:00:00,24133,7534,209
327:00:00,20348,15156,890
328:00:00,15300,2524,24
329:00:00,10363,63,0
330:00:00,10655,4033,57
331:00:00,932,523,2
332:00:00,3924,1636,8
333:00:00,15425,13360,686
334:00:00,13220,10751,440
335:00:00,5919,4445,69
336:00:00,26926,14912,852
337:00:00,22263,11071,473
338:00:00,21558,17163,1134
339:00:00,242,2,0
340:00:00,24141,5024,88
341:00:00,4004,1955,16
342:00:00,22819,6321,143
343:00:00,30417,29381,3230
344:00:00,13376,4081,61
345:00:00,25219,22317,1960
346:00:00,16935,16699,1161
347:00:00,12662,11388,484
348:00:00,14119,6163,134
349:00:00,13913,11854,510
350:00:00,20864,18099,1222
351:00:00,27731,11707,501
352:00:00,19034,2277,19
353:00:00,25216,1809,10
354:00:00,17953,16353,1014
355:00:00,509,486,3
356:00:00,8887,2229,17
357:00:00,27581,21922,1870
358:00:00,1091,22,0
359:00:00,22472,21738,1868
360:00:00,27365,22372,1969
361:00:00,26423,2799,27
362:00:00,8398,3014,30
363:00:00,22945,7503,212
364:00:00,24911,3964,50
365:00:00,11092,2669,24
366:00:00,17707,9591,330
367:00:00,4557,3976,57
368:00:00,8950,4687,83
369:00:00,32539,16902,1100
370:00:00,1214,648,1
371:00:00,20876,5079,93
372:00:00,9159,3424,44
373:00:00,21678,13054,651
374:00:00,1970,962,3
375:00:00,18211,12917,616
376:00:00,31566,7365,198
377:00:00,14873,2234,17
378:00:00,5297,4030,55
379:00:00,4923,3258,38
380:00:00,5600,4420,71
381:00:00,5072,605,1
382:00:00,28525,17334,1152
383:00:00,18456,9796,358
384:00:00,20731,2791,31
385:00:00,2371,1629,10
386:00:00,13625,5290,103
387:00:00,1470,1050,4
388:00:00,31225,14770,845
389:00:00,31803,1257,5
390:00:00,12631,485,1
391:00:00,27024,5483,108
392:00:00,14418,8736,283
393:00:00,14516,1961,13
394:00:00,32381,21770,1877
395:00:00,28779,2509,21
396:00:00,18051,819,3
397:00:00,17584,524,1
398:00:00,10894,7504,196
399:00:00,21232,4964,91
400:00:00,14572,633,1
401:00:00,11173,9268,312
402:00:00,5942,3618,51
403:00:00,11,8,0
404:00:00,1244,665,1
405:00:00,8842,1429,7
406:00:00,6328,4033,55
407:00:00,8725,2285,17
408:00:00,4575,3574,43
409:00:00,12,9,0
410:00:00,11840,8747,291
411:00:00,23289,17084,1123
412:00:00,2336,1890,11
413:00:00,24920,16422,1036
414:00:00,23253,8800,296
415:00:00,9361,8127,230
416:00:00,17073,4125,56
417:00:00,31083,13844,744
418:00:00,20302,10288,393
419:00:00,19194,181,0
420:00:00,19953,8353,270
421:00:00,20457,12051,545
422:00:00,6037,3635,48
423:00:00,30898,18010,1282
424:00:00,29758,15344,901
425:00:00,19201,7186,192
426:00:00,1850,301,0
427:00:00,7224,6481,151
428:00:00,13445,6226,143
429:00:00,21576,12811,624
430:00:00,28639,12739,620
431:00:00,25997,6319,138
432:00:00,6985,4145,70
433:00:00,29796,26855,2810
434:00:00,20571,16455,1037
435:00:00,8492,6891,177
436:00:00,13448,952,4
437:00:00,22842,12999,815
438:00:00,11423,6615,253
439:00:00,28784,13038,959
440:00:00,541,227,0
441:00:00,12897,8640,435
442:00:00,11625,4191,72
443:00:00,14857,9863,557
444:00:00,17464,15081,1388
445:00:00,12615,8446,414
446:00:00,4940,4063,55
447:00:00,9540,574,1
448:00:00,11852,3114,45
449:00:00,20171,15684,1387
450:00:00,6896,4580,106
451:00:00,22336,9373,375
452:00:00,29040,15538,931
453:00:00,15955,13252,691
454:00:00,1504,1037,3
455:00:00,2134,1743,10
456:00:00,21879,708,2
457:00:00,9699,2192,15
458:00:00,12992,1713,9
